id,question/stem,question/choices/0/text,question/choices/0/label,question/choices/1/text,question/choices/1/label,question/choices/2/text,question/choices/2/label,question/choices/3/text,question/choices/3/label,answerKey
MSA_2012_8_29,"Ethanol is a type of alcohol made from plants. Sugarcane and corn, which are both used in foods such as cereals and breads, are used to make ethanol. Burning ethanol provides a clean source of energy because the products of ethanol are water and carbon dioxide. Therefore, mixing ethanol with gasoline reduces harmful waste products. In the 1970s, many Brazilians drove cars with engines that used an ethanol gasoline mixture. This alternative fuel conserved the limited supply of gasoline available at that time. In the 1990s, gasoline became cheaper than ethanol, and Brazilians returned to driving more gasoline-fueled cars. Recently, Brazilians started driving more cars that use an ethanol-gasoline mixture. Ethanol is a good alternative fuel because it",reduces air pollution,A,increases biodiversity,B,reduces sound pollution,C,increases ozone emissions,D,A
Mercury_SC_401774,A whistle produces a sound because blowing air in the whistle causes,the whistle material to shake.,A,the air inside the whistle to vibrate.,B,the air to be absorbed by the whistle.,C,the air in the whistle to heat up and expand.,D,B
TIMSS_2003_4_pg14,Each year the Earth moves once around,Mars,A,the Sun,B,the Moon,C,all the other planets,D,B
ACTAAP_2008_7_13,"According to Newton's first law of motion, what counteracts gravity to keep a satellite in orbit?",inertia,A,energy,B,friction,C,magnetism,D,A
Mercury_SC_416096,How do plants get water and minerals?,absorbed from the soil though the roots,A,absorbed from the soil through the stem,B,absorbed from the air through the flowers,C,absorbed from the air through the leaves,D,A
NYSEDREGENTS_2013_8_12,A cell's chromosomes contain,genes,1,chlorophyll,2,sperm,3,eggs,4,1
Mercury_7222845,Which of these events is an example of a change in climate?,Afternoon clouds form and block the sunlight.,A,A series of tornadoes occurs over a one-week period.,B,An overnight temperature drop causes frost to form.,C,The average amount of annual precipitation decreases.,D,D
Mercury_SC_401166,Which object works best when reflecting light?,mirror,A,camera,B,binoculars,C,eyeglasses,D,A
LEAP_2005_4_10267,"A wetland was drained to build a mall. Two years later, there were no more toads in that area. Why did the toads disappear?",The toads were destroyed by the construction equipment.,A,The toads died because toads cannot breathe out of water.,B,The toads were frightened and went into the woods.,C,The toads go their food from the wetland ecosystem.,D,D
ACTAAP_2007_7_18,Which elements are found to the right of the zigzag line in the periodic table?,liquids,A,metals,B,metals and gases,C,nonmetals and gases,D,D
Mercury_7188370,Miranda learned how the human body carries out life functions. Which is the most basic level of organization in the human body?,an organ,A,a system,B,a tissue,C,a cell,D,D
MSA_2013_5_5,"Pollutants, such as motor oil and gasoline, are sometimes leaked onto roads by vehicles. How do these pollutants most likely affect the environment?",Storms wash the pollutants into lakes and rivers.,A,Animals become sick from licking the pollutants on the road.,B,Animals get stuck in the pollutants when they cross the road.,C,Winds blow the pollutants to the side of the road and harm the soil.,D,A
MCAS_2005_5_8,Which of the following objects is probably the most flexible?,a ceramic dish,A,a wooden block,B,a short steel rod,C,a new rubber hose,D,D
Mercury_184888,A student practicing for the outdoor track team begins to sweat. To what stimulus is the body responding?,an increase in heart rate,A,an increase in body temperature,B,an increase in oxygen demand,C,an increase in breathing rate,D,B
Mercury_7044188,What repeating cycle is responsible for the four seasons that occur on Earth?,rotation of the moon,A,rotation of the Sun,B,revolution of the sun in the galaxy,C,revolution of the earth about the sun,D,D
Mercury_7056875,Which of these systems functions to protect and support vital organs?,digestive,A,skeletal,B,nervous,C,excretory,D,B
Mercury_SC_400868,Which characteristic would best help a rabbit survive in snow?,short legs,A,dim eyesight,B,"thick, white fur",C,slow movement,D,C
Mercury_SC_409142,Scientists are studying a pond. Which property can the scientists measure to understand the amount of energy held by the lake water?,the depth of the lake,A,the color of the water,B,the volume of the lake,C,the temperature of the water,D,D
Mercury_SC_408900,Russell wants to observe changes in nature over the next few months. What can a thermometer help Russell investigate?,rainfall amounts each week,A,tiny organisms in pond water,B,the high temperatures each day,C,the amount of growth in a plant,D,C
Mercury_SC_401624,The egg stage in the life cycle of a bird is most like which phase in the life cycle of certain types of flowers?,seed,A,spore,B,pollen,C,immature flower,D,A
Mercury_7188965,Peristalsis helps move nutrients through parts of the body by using wavelike contractions. In which system is the function used?,circulatory,A,digestive,B,endocrine,C,nervous,D,B
NCEOGA_2013_8_32,Which is the best way to help prevent the flu from becoming a pandemic?,getting a vaccination,A,taking antibiotics,B,eating fruits and vegetables,C,washing hands often,D,A
Mercury_7008208,Which theory states that the universe originated as a single mass?,Big Bang,A,Steady State,B,Astronomical,C,Catastrophism,D,A
Mercury_7092400,"As two continental plates collide, the edges of the plates are crumpled and uplifted. Which of these landforms is most likely a result of this type of collision?",normal faults,A,mountain ranges,B,U-shaped valleys,C,shield volcanoes,D,B
Mercury_417462,"During a walk in the woods, Mandy finds a plant structure that had fallen onto the trail. Mandy can tell the object contained seeds, and thinks it came from a flowering plant instead of a conifer. How can she determine if the object came from a flowering plant?",by looking for seed coats on the seeds,A,by looking for wing-like structures on the seeds,B,by looking for fruit tissue around the seeds,C,by looking for young sporophytes inside the seeds,D,C
Mercury_SC_401211,"The esophagus, stomach, and small intestine are parts of which body system?",nervous,A,digestive,B,respiratory,C,muscular,D,B
Mercury_178605,Which of the following is a chemical property of silver?,malleable,A,white metal,B,conductor of heat,C,reacts with nitric acid,D,D
Mercury_SC_400364,"If the climate in an area changed over time to become very cold, which change would most likely help a species living there to survive?",a thicker neck and longer tail,A,a larger mouth and stronger jaws,B,an increase in fur and fat,C,an increase in height and speed,D,C
NYSEDREGENTS_2008_8_15,A broken bone heals through the process of,adaptation,1,mutation,2,cell division,3,chemical digestion,4,3
ACTAAP_2015_5_7,Which is the best example of an object with kinetic energy?,a plate sitting on a table,A,a bird perching in a tree,B,a marble rolling down a ramp,C,a dam holding back some water,D,C
Mercury_7180618,"Lions tend to prey on primary consumers like zebras and gazelles. If there were a sudden decline in a population of lions, which ecological imbalance would most likely occur in the habitat?",overgrazing,A,eutrophication,B,invasion by non-native species,C,overproduction of greenhouse gases,D,A
Mercury_415262,Which of the following could help to reduce a home heating bill in winter?,replacing wood doors with aluminum doors,A,using more insulation in the walls of the home,B,removing thick rugs and heavy curtains in the home,C,painting the roof of the home white to reflect light,D,B
Mercury_7200200,Elizabeth uses a specific type of whistle to call her dogs. The noise made by the whistle is heard by the dogs but cannot be heard by the human ear. Which statement best describes why humans cannot hear the sound made by the whistle?,The speed of the sound is too fast.,A,The amplitude of the sound is too low.,B,The frequency of the sound is too high.,C,The wavelength of the sound is too long.,D,C
MDSA_2008_8_24,"Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming?",developing highways,A,driving large vehicles,B,using renewable power sources,C,using electricity from coal burning power plants,D,C
Mercury_185238,"As members of a food web, humans are considered to be",producers.,A,consumers.,B,decomposers.,C,scavengers.,D,B
MCAS_2015_8_6,Which of the following statements best describes the role of gravity in the formation of stars?,Gravity converts solid matter into gases and light energy.,A,Gravity causes gases and dust particles to condense into spheres.,B,Gravity cools gases and liquids until they become one solid mass.,C,Gravity pushes rocks and dust particles outward from a dense center.,D,B
Mercury_7015663,"What is the name of the process in which igneous, sedimentary, and metamorphic rocks are converted into one another in stages?",rock cycle,A,erosion cycle,B,magma cycle,C,tectonic cycle,D,A
Mercury_SC_LBS10174,What is happening when rocks are broken down by both physical and chemical changes?,weathering,A,deposition,B,condensation,C,decomposing,D,A
Mercury_7024780,"In a laboratory procedure, students added sodium hydroxide crystals to a beaker of water and allowed the resulting solution to cool. Based on this information, which type of chemical process most likely occurred?",electrical,A,energetic,B,exothermic,C,endothermic,D,C
Mercury_SC_404975,Students are attempting to make a doorbell ring using some wire and a battery. What is needed to make the bell ring?,friction,A,gravity,B,a convection current,C,an electrical circuit,D,D
Mercury_7098928,Which concept was most likely modified due to the invention of the microscope?,size of subatomic particles,A,composition of living things,B,number of the moons of Jupiter,C,formation of sedimentary rocks,D,B
Mercury_416501,Which energy transformation occurs during active transport in a cell?,light energy -> chemical energy,A,kinetic energy -> potential energy,B,chemical energy -> mechanical energy,C,mechanical energy -> electrical energy,D,C
Mercury_SC_406012,"The nervous system consists of the brain, spinal cord, and nerves that run throughout the entire body. Which of these is one function of the nervous system?",supports body posture,A,controls body functions,B,supplies the blood with oxygen,C,carries blood to and from the heart,D,B
Mercury_SC_407192,Which of these is most likely a result of using pesticides on farm crops?,rainfall levels could decrease,A,air temperatures could increase,B,water sources could become polluted,C,caterpillars could become extinct,D,C
Mercury_7239890,The biological selection of a particular allele for a trait to be passed to offspring has nothing do with the selection of the allele for another trait. Which of the following supports this statement?,law of independent assortment,A,law of dominance,B,law of segregation,C,law of recessiveness,D,A
Mercury_7282135,Air pollution can influence a person's quality of life. Which best identifies the influence of air pollution?,It is a behavioral influence.,A,It is a genetic influence.,B,It is an environmental influence.,C,It is a dietary influence.,D,C
Mercury_184328,What information about stars can be learned by using a spectrometer?,chemical composition,A,distance from Earth,B,size,C,speed,D,A
ACTAAP_2007_7_22,Which is the function of the gallbladder?,store bile,A,produce bile,B,store digestive enzymes,C,produce digestive enzymes,D,A
MDSA_2010_8_43,"When trees are removed from a tropical rain forest, other plants and animals are affected. Which statement identifies another change that will most likely occur when a rain forest habitat is destroyed?",Oxygen levels will increase.,A,Carbon dioxide levels will increase.,B,The temperature of Earth will decrease.,C,The air pollution in the atmosphere will decrease.,D,B
Mercury_7044520,A student was given the volume and description of a substance and was asked to determine its density. What information is missing?,size,A,mass,B,boiling point,C,melting point,D,B
Mercury_SC_400518,A geologist found several types of seashell fossils in a rock layer. Which is the best conclusion about the rock layer?,The rock was once buried under a swamp.,A,Water from a river washed across the rock.,B,The rock was once sediment at the bottom of an ocean.,C,Migrating animals dropped the seashell into the rock.,D,C
Mercury_7205573,All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system?,Earth has no natural satellites.,A,Earth's atmosphere is composed of gases.,B,Water is found in all three phases on Earth.,C,Volcanoes release liquid rock onto Earth's surface.,D,C
Mercury_7222863,"When light reflects off certain crystals in the atmosphere, effects called halos appear. Which substance in the atmosphere forms these crystals?",carbon dioxide,A,oxygen,B,sulfur dioxide,C,water,D,D
NYSEDREGENTS_2015_4_19,During which process do animals increase in size?,breathing,A,growing,B,shedding,C,repairing,D,B
Mercury_7121905,In what form do plants store the energy produced from sunlight?,radiant,A,thermal,B,chemical,C,mechanical,D,C
LEAP__4_10226,"Carmine's mother drinks four cans of soft drink each day. After drinking the soft drinks, Carmine's mother should",throw the cans in the trash.,A,send the cans to a landfill.,B,take the cans to be recycled.,C,crush the cans before putting them in the trash.,D,C
Mercury_7210018,A student observes different characteristics of a rock. Which observation best describes a fact about the rock?,It has a nice surface.,A,It has an interesting shape.,B,It is made of several layers.,C,It feels warm when touched.,D,C
ACTAAP_2013_7_13,Xylem cells have very thick walls. They make up most of a tree trunk and its branches. What system in vertebrates provides the same function as the xylem cells in a tree?,the skeletal system,A,the endocrine system,B,the respiratory system,C,the integumentary system,D,A
MCAS_2014_8_11,"At one station in a production line, a worker must drill a hole in each end of wooden boards. At the next station, another worker attaches two of the boards together using metal fasteners that fit in the holes. Which of the following processes will ensure that the wooden boards fit together with the fewest errors?",placing the parts on a conveyor belt to keep them moving quickly,A,using a fixture to hold the boards in place as the holes are drilled,B,inspecting the boards after they are attached to each other,C,installing equipment to protect workers from debris,D,B
OHAT_2007_5_12,A student places a ball on the ground and kicks it. The ball moves along the ground. Why does the ball move?,The kick decreases the weight of the ball.,A,The kick applies a contact force to the ball.,B,The kick decreases the force of gravity acting on the ball.,C,The kick removes friction between the ball and the ground.,D,B
MCAS_2000_4_24,Why do identical twins usually look like each other?,They were born on the same day.,A,They have the same kinds of interests.,B,They inherited the same characteristics from their parents.,C,They were taught the same kinds of things at home.,D,C
MCAS_1999_8_31,"The process by which information is encoded, transmitted, stored, decoded, and retrieved is called",manufacturing technology.,A,transportation technology.,B,construction technology.,C,communication technology.,D,D
Mercury_7212853,Elements are organized on the periodic table according to,electronegativity values.,A,atomic mass.,B,atomic number.,C,the number of neutrons.,D,C
Mercury_400808,Chromium is characterized by a very high melting point. Use the Periodic Table of the Elements to identify which of these elements most likely has a similar melting point.,potassium,A,manganese,B,bromine,C,krypton,D,B
Mercury_404895,A scientist finds a plant and states that it is a new species. Which is the best way to verify that it is a new species?,develop a theory about the plant,A,compare the plant to other plants,B,observe the plant with a microscope,C,determine the best growing conditions for the plant,D,B
MCAS_2000_8_19,The bottom of the space shuttle is covered with ceramic tile. This material was chosen because it withstands,moisture.,A,vibration.,B,heat.,C,light.,D,C
Mercury_415684,What is the effect of absorption of infrared light by human skin?,sunburn on the skin surface,A,disinfection of the skin tissues,B,feeling of warmth on the skin,C,immediate death of skin cells,D,C
Mercury_7068705,Some plants need to be in an environment where water drains easily. Which type of soil content will best benefit these plants?,sand,A,shale,B,clay,C,silt,D,A
MCAS_2011_5_17668,Which of the following statements best describes sandy soils?,Sandy soils allow water to drain quickly.,A,Sandy soils easily break down into clay sediments.,B,Sandy soils hold plant roots tightly in place to prevent erosion.,C,Sandy soils have high levels of decomposed plant and animal matter.,D,A
Mercury_402332,What type of rock was the fossil most likely found in?,igneous,A,volcanic,B,sedimentary,C,metamorphic,D,C
Mercury_SC_400601,Which source produces light from nuclear energy?,the Sun,A,a stove burner,B,the Moon,C,a light bulb,D,A
VASoL_2009_5_27,A student rolls a ball on the ground. Which of these causes the ball to slow down and then stop?,The motion of the ball,A,The speed of the ball,B,Friction from the ground,C,A magnetic field,D,C
Mercury_7180705,"In the human body, the circulatory system works with the respiratory system by",producing red blood cells.,A,transporting oxygen to organs.,B,providing nutrients to muscles.,C,controlling the movement of the lungs.,D,B
Mercury_SC_406153,What kind of force do brakes use to stop a moving bicycle?,gravity,A,friction,B,magnetic,C,push,D,B
Mercury_SC_408919,The first powerful telescopes were built during the early 1600s. Scientists at that time were able to learn more about which subject by using the telescope?,the shape of continents of Earth,A,the effect of storms and hurricanes,B,forces changing the surface of Earth,C,planets and moons in the solar system,D,D
Mercury_7024745,A student wants to perform an experiment to determine what temperature is best for growing tomato plants. Which is the best piece of equipment to use in this experiment to measure the independent variable?,rain gauge,A,light meter,B,tape measure,C,thermometer,D,D
MDSA_2008_5_6,Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5Â° Celsius?,evaporation,A,freezing,B,melting,C,precipitation,D,C
Mercury_7090930,Land subsidence (ground level dropping) is most likely an indication that,sediments are being deposited.,A,water is being polluted.,B,rocks are being weathered.,C,ground water is being depleted.,D,D
Mercury_7033373,The United States government limits the use of certain pesticides through laws passed in the Endangered Species Protection Program. Which is the most likely reason to enforce laws that limit pesticide use?,Some pesticides are expensive.,A,Some pesticides fail to control insects.,B,Some pesticides give off foul odors.,C,Some pesticides can harm non-targeted species.,D,D
Mercury_SC_405219,Refrigerators were invented to keep food cold. This is helpful in,growing food.,A,cleaning food.,B,keeping food dry.,C,keeping food fresh.,D,D
Mercury_SC_402238,What safety procedure should a student follow when a thermometer is broken during a lab experiment?,tell the teacher immediately,A,stop the experiment immediately,B,sweep the glass into a biohazard container,C,use a paper towel to pick up the pieces,D,A
Mercury_7215863,Which process is most effective for separating sodium chloride from a saltwater solution?,filtration,A,evaporation,B,magnetic separation,C,chemical separation,D,B
Mercury_7041300,"Clear cutting of old growth forests in Oregon provides lumber for housing. In the process of clear cutting, plant diversity decreases and some organisms are pushed to extinction. Clear cutting is an example of",a change in aquatic conditions.,A,a change in societal conditions.,B,a change in atmospheric conditions.,C,a change in environmental conditions.,D,D
Mercury_7190050,El NiÃ±o is a term that refers to the oceanic phenomenon in which the surface water temperatures increase. The increase in water temperature usually occurs in the tropical Pacific Ocean. Which will most likely occur as a result of this phenomenon to cause environmental changes?,melting of the polar ice caps,A,varied atmospheric conditions,B,an increase in volcanic eruptions,C,an increase in the length of summers,D,B
MCAS_1999_4_10,"An animal that has thick fur, webbed feet, and blubber would probably live in the",Arctic Ocean.,A,Amazon Rain Forest.,B,"Intracoastal Waterway, Florida.",C,"Mojave Desert, California.",D,A
Mercury_7222320,"The rover Spirit is a robotic probe that NASA has placed on Mars. The gravitational attraction of Mars is approximately 62% less than that of Earth. Compared to its measurements on Earth, on Mars the probe has",the same weight and the same mass.,A,"a larger weight, but smaller mass.",B,a smaller mass and larger weight.,C,a smaller weight and the same mass.,D,D
MCAS_2006_8_25,"Sal is looking at a map of Massachusetts. He has measured the distance, in inches, from Boston to Salem on the map. He wants to know how many actual miles the inches represent. What feature of the map should he look for?",key,A,scale,B,legend,C,compass,D,B
Mercury_7206605,"A hammer and a screwdriver are next to each other in the sunlight. After one hour, the hammer is hotter than the screwdriver. The shape and mass of each object may affect the amount of heat each object gains. Another explanation for the difference in temperature may be that the hammer and screwdriver are",moving at different rates.,A,made of different materials.,B,used for different purposes.,C,picked up in different ways.,D,B
Mercury_SC_408336,"On January 15th, there were 10 hours and 24 minutes of daylight in Jacksonville, Florida. On the same day, there were only 9 hours and 37 minutes of daylight in New York City. Why did New York have fewer hours of daylight than Florida?",because Earth rotates,A,because Earth tilts on its axis,B,because gravity pulls Earth toward the Sun,C,because the Moon reflects sunlight onto Earth,D,B
Mercury_416579,"A euglena has a flagellum and a paramecium has cilia. Both types of organelles help these organisms move through the water. However, a paramecium can also use its cilia to perform another task. What is this task?",obtain food,A,defend the cell,B,attach to a surface,C,perform conjugation,D,A
Mercury_7001575,Which characteristic of wolves is most likely learned?,fur color,A,eyesight,B,litter size,C,social behavior,D,D
Mercury_SC_416142,Which would most help pollinators find flowers that are pollinated at night?,shape,A,color,B,size,C,fragrance,D,D
MCAS_1998_8_19,A solar eclipse occurs when,the Moon blocks the Earth from the Sun.,A,the first four planets in the solar system are aligned.,B,Earth blocks the Moon from the Sun.,C,Earth's shadow falls on the Sun.,D,A
Mercury_SC_400187,Which process turns a large rock into a pile of smaller stones?,deposition,A,sedimentation,B,fossilizing,C,weathering,D,D
TIMSS_2011_8_pg74,Where are the active volcanoes most likely to be found?,where rivers form,A,where tectonic plates meet,B,where oceans are deepest,C,where land and water meet,D,B
Mercury_7013458,"During its lifetime, a star will evolve through several stages. In which stage does a star spend most of its life?",red giant,A,red dwarf,B,white dwarf,C,main sequence,D,D
CSZ30768,Which of the following elements is best able to combine with itself and hydrogen [H] to form large molecules?,sodium [Na],A,lithium [Li],B,sulfur [S],C,carbon [C],D,D
MCAS_2004_9_10,Which of the following is designed to transform an electromagnetic wave into a mechanical wave?,a portable radio,A,a television screen,B,a computer monitor,C,a mercury thermometer,D,A
AIMS_2009_4_25,Four students tried to find out which magnet was the strongest. They each shared one idea. Which idea shows scientific thinking?,We can pick the longest magnet.,A,We can pick the heaviest magnet.,B,We can measure the strength of the magnets.,C,We can vote for the magnet that we think is the strongest.,D,C
Mercury_7221498,Energy is transferred in an electrical circuit through,static protons.,A,moving protons.,B,static electrons.,C,moving electrons.,D,D
Mercury_7170853,"The life cycle of a star includes formation, life, and death. In the Universe, where do new stars originate?",from fusion in red giants,A,in molecular clouds of gas,B,in radiation from black holes,C,from large fragments of antimatter,D,B
Mercury_7109690,What would be the initial result if a DNA molecule did not replicate accurately?,infertility of the organism,A,incorrect protein synthesis,B,increase in reproduction rate,C,immediate death of the organism,D,B
Mercury_SC_400525,Photosynthesis and respiration are both parts of which cycle?,carbon cycle,A,nitrogen cycle,B,phosphorous cycle,C,rock cycle,D,A
Mercury_SC_LBS10616,"Earth is tilted as it travels around the Sun. The tilt changes the amount of energy each area gets from the Sun, which makes some months of the year warmer than others. What are the four main temperature changes in a year called?",seasons,A,climate,B,weather,C,quarters,D,A
MCAS_2000_4_21,"If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by",insulation.,A,magnetism.,B,friction.,C,conduction.,D,C
MCAS_1999_8_9,Large amounts of industrial gases are released into the atmosphere every day. What happens to those gases?,They are broken down by ultraviolet light from the Sun.,A,They are converted into nitrogen and oxygen.,B,They rise through the atmosphere and go into outer space.,C,They remain in the atmosphere for long periods of time.,D,D
Mercury_415265,In which way is a prokaryotic cell different from a eukaryotic cell?,A prokaryotic cell is larger.,A,A prokaryotic cell has no nucleus.,B,A prokaryotic cell can reproduce itself.,C,A prokaryotic cell has a cell membrane.,D,B
AKDE&ED_2008_8_20,What is a primary role of decomposers in an ecosystem?,They eliminate matter by taking nitrogen from the ecosystem.,A,They eliminate matter by taking phosphorus from the ecosystem.,B,They cycle matter by returning carbon and other matter to the ecosystem.,C,They cycle matter by returning oxygen and other matter to the ecosystem.,D,C
Mercury_415545,What chemical symbol represents the element copper?,C,A,Co,B,Cp,C,Cu,D,D
AIMS_2008_4_6,Meteorologists study weather. Which of the following should meteorologists know about?,types of fronts,A,types of fossils,B,types of circuits,C,types of adaptations,D,A
TIMSS_1995_8_L7,The crews of two boats at sea can communicate with each other by shouting. Why is it impossible for the crews of two spaceships a similar distance apart in space to do this?,The sound is reflected more in space.,A,The pressure is too high inside the spaceships.,B,The spaceships are traveling faster than sound.,C,There is no air in space for the sound to travel through.,D,D
Mercury_SC_401161,Which liquid most likely contains a dissolved gas?,whole milk,A,house paint,B,mud puddle,C,carbonated soda,D,D
Mercury_7086765,Silica sand is a resource used in large volume in Nevada. This resource is used to make which product?,tar,A,glass,B,plastic,C,electricity,D,B
Mercury_183768,Which of these best describes the function of the skeletal system?,transports oxygen and nutrients throughout the body,A,supports and protects tissues and organs,B,removes harmful wastes from the cells of the body,C,breaks down food into a form that cells can use,D,B
TAKS_2009_5_6,"A student wants to find out how many different kinds of birds are found in a park. In addition to a bird identification book, the student should use ___.",binoculars,A,goggles,B,a microscope,C,a hand lens,D,A
Mercury_7222775,Nevada mines produce greater quantities of a particular resource than any other state. What resource is produced from these mines?,zinc,A,copper,B,gold,C,lead,D,C
VASoL_2008_5_20,A student throws a ball. Which of these best describes the moving ball?,The ball has light energy.,A,The ball has kinetic energy.,B,The ball is transferring sound energy to the air.,C,The ball is transferring light energy to the air.,D,B
MEA_2010_8_9-v1,During which process does genetic material come from two parents?,asexual reproduction,A,photosynthesis,B,respiration,C,sexual reproduction,D,D
Mercury_7268030,Which of these is a threat to the survival of an ecosystem?,predator-prey population cycles,A,less biomass at higher levels of the food web,B,a shrinking variety of animal and plant species,C,competition among some consumer populations,D,C
NYSEDREGENTS_2012_8_5,Which human organ system produces most of the hormones that regulate body functions?,digestive,1,nervous,2,muscular,3,endocrine,4,4
Mercury_7239138,"The complex, three-dimensional structure of a protein is sensitive to heat because the structure is maintained by",hydrogen bonds.,A,covalent bonds.,B,Brownian motion.,C,magnetic fields.,D,A
Mercury_SC_400662,A few types of birds live in the same ecosystem. Which of these characteristics would most likely affect how they compete with each other for food?,the types of nests they build,A,the lengths of their tails,B,the shapes of their beaks,C,the colors of their feathers,D,C
Mercury_414097,Most of the United States is a part of which tectonic plate?,Pacific Plate,A,Eurasian Plate,B,North American Plate,C,South American Plate,D,C
Mercury_7083598,"At one time, scientists believed that living organisms came from nonliving objects. This theory was revised through",changes in popular belief.,A,evidence from experiments.,B,information published in books.,C,advances in the scientific method.,D,B
MSA_2012_8_36,"The human body is composed of different systems made of specialized cells, tissues, and organs. Each of these structures has a specific function that aids in the survival of the human species. What is the primary function of the excretory system?",to digest food,A,to help in defense,B,to eliminate waste,C,to enable movement,D,C
VASoL_2011_5_36,Which is the best tool for measuring the temperature of lake water?,Meter stick,A,Balance,B,Graduated cylinder,C,Thermometer,D,D
VASoL_2010_3_13,The teeth of a carnivore are MOSTLY -,pointed,A,rounded,B,wide,C,flat,D,A
Mercury_405141,Panels of solar cells are used to collect energy from the Sun and convert it into energy for use in homes. Into what type of energy is the solar energy converted?,chemical,A,electrical,B,geothermal,C,hydroelectric,D,B
Mercury_7026968,A student wants to estimate the number of dandelion plants growing in a field. He counts the number of plants in a 5 square meter section of the field. What other information should he obtain to make his estimate?,the total area of the field,A,average rainfall in the area,B,all the organisms living in the field,C,energy and nutrient requirements of dandelions,D,A
Mercury_7234395,Overuse of which water resource tends to cause land to subside?,ocean water,A,aquifer water,B,river water,C,lake water,D,B
Mercury_402535,"Students are preparing to determine the boiling points of several aqueous solutions. In addition to proper lab attire, what devices or instruments will the students need to conduct this experiment?","hot plate, beaker, masking tape",A,"thermometer, hot plate, beaker",B,"matches, beaker, thermometer",C,"balance, hot plate, thermometer",D,B
MDSA_2011_8_2,One solar day on Jupiter lasts only 9 hours and 50 minutes. What causes a solar day?,diameter of the planet,A,rotational speed of the planet,B,speed of a planet in orbit around the sun,C,diameter of the orbit of a planet around the sun,D,B
Mercury_7086783,The finest-grained soils are richest in,sand.,A,humus.,B,clay.,C,iron.,D,C
Mercury_SC_405164,Wind and water are examples of renewable energy sources because,they will stop producing energy.,A,they were formed millions of years ago.,B,they are always available to produce energy.,C,they take millions of years to start producing energy.,D,C
Mercury_7018340,"Gregor Mendel contributed to the study of biology by the careful, objective study of",heredity.,A,bacteria.,B,pedigrees.,C,environment.,D,A
Mercury_7240923,Which statement describes the most likely effect of transformation on bacteria such as E. coli?,Transformed bacteria express a new protein product.,A,Transformed bacteria have multiple chromosomes.,B,Transformed bacteria reproduce more quickly.,C,Transformed bacteria become a new species.,D,A
Mercury_SC_401122,A metal pan will heat up quickly when placed over a gas or electric burner. The metal pan is a good,resistor.,A,insulator.,B,conductor.,C,accelerator.,D,C
Mercury_7080465,Which is a fact rather than an opinion about earthquakes?,Earthquakes occur along fault lines.,A,Earthquakes are worse than hurricanes.,B,Earthquakes are bad for all local businesses.,C,Earthquakes always cause major damage to homes.,D,A
ACTAAP_2014_7_4,Which statement best describes the development of a human embryo?,A single cell becomes many cells.,A,Each cell has a different function.,B,Many cells combine to form one cell.,C,All the cells have the same function.,D,A
Mercury_7267540,Which of these natural disasters is least likely to cause major damage to a prairie ecosystem?,a flood,A,a tornado,B,a hurricane,C,an earthquake,D,D
Mercury_SC_406684,The life cycle of a beetle is similar to the butterfly. Which process changes the beetle from larva to adult?,molting,A,migration,B,photosynthesis,C,metamorphosis,D,D
Mercury_SC_401771,Which adaptation helps a bird fly?,larger feet,A,bigger eyes,B,longer beaks,C,hollow bones,D,D
Mercury_7228690,Scientists are able to correlate time and the amount of difference between homologous genes when studying the divergence of two species because scientists have reliable estimates for which value?,rate of genetic mutations,A,survival benefit of specific genes,B,pressure of selection on base pairs,C,number of bases in species' genomes,D,A
Mercury_7216720,Which of the following is a part of the process of sexual reproduction?,budding,A,regeneration,B,pollination,C,fragmentation,D,C
Mercury_7057785,Why are diseases transmitted through the bites of infected animals not considered contagious diseases?,The infected animals do not show symptoms.,A,The person in direct contact is the only one infected.,B,Humans do not become sick from animal diseases.,C,The diseases are treatable with antibiotics.,D,B
Mercury_7236495,Scientists theorize that the original atmosphere of Earth was stripped away by the solar wind shortly after the formation of the planet. The Jovian planets are far enough from the Sun that the solar wind has less of an impact. Studies of the Jovian planets suggest the early atmosphere of Earth was mainly composed of which two gases?,oxygen and argon,A,hydrogen and helium,B,carbon dioxide and nitrogen,C,sulfur dioxide and water vapor,D,B
NYSEDREGENTS_2013_8_9,Which human body systems work directly together to allow locomotion?,"circulatory, excretory, and respiratory",1,"circulatory, endocrine, and reproductive",2,"skeletal, muscular, and nervous",3,"skeletal, digestive, and respiratory",4,3
MCAS_2000_8_24,Which is the best evidence for the theory of continental drift?,the appearance of volcanoes at the boundaries where plates collide,A,earthquakes at boundaries where one plate slides past another,B,cases where a species exists in only one isolated place,C,fossils of the same species found on widely separated continents,D,D
Mercury_SC_400298,"Students go on a field trip to observe salmon spawning in a river. For safety reasons, the students should not",explore alone.,A,listen to instructions.,B,take notes.,C,bring water.,D,A
